seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
119.0,01:59,136.9,91.3,220,90,90,50,61,15616,100,20,100,11.5,206,7.4,0,91.3,136.9,91.32334841629009,136.96877828054375
120.0,02:00,137.3,91.7,220,90,90,50,61,15616,99,20,100,11.6,208,7.6,0,91.7,137.3,91.71529411764757,137.27067873303244
121.0,02:01,137.6,92.1,220,90,90,50,61,15616,99,20,100,11.6,209,8.0,0,92.1,137.6,92.11447963800956,137.57864253393743
122.0,02:02,137.9,92.5,220,90,90,50,61,15616,99,20,100,11.6,208,8.6,0,92.5,137.9,92.51592760181046,137.90063348416365
123.0,02:03,138.2,92.9,220,90,90,50,61,15616,100,20,100,11.6,209,9.0,0,92.9,138.2,92.91466063348469,138.22371040724056
124.0,02:04,138.6,93.4,220,90,90,50,61,15616,100,20,100,11.7,210,9.5,0,93.4,138.6,93.31248868778333,138.5478733031682
125.0,02:05,138.9,93.7,220,90,90,50,61,15616,99,20,100,11.6,209,9.7,0,93.7,138.9,93.71828054298695,138.8792760181003
126.0,02:06,139.2,94.1,220,90,90,50,61,15616,100,20,100,11.5,208,9.7,0,94.1,139.2,94.10705882352994,139.1963800904985
127.0,02:07,139.5,94.5,220,90,90,50,61,15616,102,20,100,11.5,206,9.4,0,94.5,139.5,94.49475113122224,139.50443438914104
128.0,02:08,139.8,94.9,220,90,90,50,61,15616,101,20,100,11.4,205,9.4,0,94.9,139.8,94.87022624434442,139.81547511312297
129.0,02:09,140.1,95.2,220,90,90,50,61,15616,101,20,100,11.3,203,9.4,0,95.2,140.1,95.26443438914079,140.1427149321275
130.0,02:10,140.4,95.6,220,90,90,50,61,15616,100,20,100,11.2,202,9.4,0,95.6,140.4,95.6071493212675,140.43230769230848
131.0,02:11,140.8,96.0,220,90,90,50,61,15616,100,20,100,11.2,201,9.4,0,96.0,140.8,95.97176470588289,140.7331221719465
132.0,02:12,141.0,96.3,220,90,90,50,61,15616,100,20,100,11.1,200,9.4,0,96.3,141.0,96.33104072398243,141.0201809954759
133.0,02:13,141.3,96.7,220,90,90,50,61,15616,101,20,100,11.1,199,9.4,0,96.7,141.3,96.6592760181001,141.29004524886957
134.0,02:14,141.6,97.0,220,90,90,50,61,15616,100,20,100,11.0,198,9.1,0,97.0,141.6,96.97873303167475,141.54633484162974
135.0,02:15,141.9,97.4,220,90,90,50,61,15616,100,20,100,10.9,196,8.9,0,97.4,141.9,97.28461538461593,141.7926696832587
136.0,02:16,141.9,97.4,220,90,90,50,61,15616,100,20,100,10.9,196,8.9,0,97.4,141.9,97.58597285067927,142.03266968325872
137.0,02:17,142.4,98.1,220,90,90,50,61,15616,99,20,100,10.8,195,8.5,0,98.1,142.4,97.88506787330371,142.26995475113202
138.0,02:18,142.4,98.1,220,90,90,50,61,15616,99,20,100,10.8,195,8.5,0,98.1,142.4,98.17710407239873,142.50814479638086
139.0,02:19,142.7,98.4,220,90,90,50,61,15616,101,20,100,10.7,193,8.3,0,98.4,142.7,98.49113122172,142.76470588235375
140.0,02:20,143.0,98.8,220,90,90,50,61,15616,101,20,100,10.6,191,8.2,0,98.8,143.0,98.81556561086026,143.02325791855282
141.0,02:21,143.3,99.1,220,90,90,50,61,15616,100,20,100,10.7,193,8.3,0,99.1,143.3,99.15266968325848,143.29447963800985
142.0,02:22,143.6,99.5,220,90,90,50,61,15616,100,20,100,10.7,192,8.4,0,99.5,143.6,99.5047058823535,143.58904977375647
143.0,02:23,143.9,99.9,220,90,90,50,61,15616,101,20,100,10.5,190,8.7,0,99.9,143.9,99.87393665158427,143.90470588235374
